Time  Yaw  Pitch  Roll
7,66 173,4667 2,835629 13,07338
7,68 173,4541 2,823745 13,08765
7,7 173,4518 2,779504 13,12226
7,72 173,5279 2,657955 13,16433
7,74 173,6375 2,57732 13,23282
7,76 173,7336 2,568382 13,44939
7,78 173,7995 2,540131 13,55885
7,8 173,7934 2,563914 13,59116
7,82 173,8261 2,560828 13,70501
7,84 173,8919 2,458784 13,69029
7,86 174,0447 2,255411 13,73812
7,88 174,1124 2,162465 13,77383
7,9 174,1424 2,034451 13,88487
7,92 174,0733 1,911855 13,886
7,94 174,1288 1,735037 13,71415
7,96 174,3198 1,510204 13,50309
7,98 174,5071 1,509015 13,35841
8 174,7804 1,415263 13,20532
8,02 175,1304 1,397845 12,97341
8,04 175,5841 1,491455 12,5007
8,059999 175,9537 1,437564 12,15572
8,08 176,0261 1,316678 11,90883
8,099999 176,1617 1,296165 11,26962
8,12 176,2213 1,306508 10,79587
8,139999 176,289 1,151081 10,25938
8,16 176,2766 1,020883 9,730219
8,179999 176,4023 0,9821485 9,290923
8,2 176,6591 1,044809 8,63555
8,22 176,9527 1,079831 8,18661
8,24 177,4623 1,097707 7,724419
8,26 177,9641 1,115141 7,364722
8,28 178,2459 1,089734 7,143423
8,3 178,7173 1,054865 6,724562
8,32 179,1403 1,057216 6,328519
8,34 179,3171 1,076702 5,971255
8,36 179,3907 1,145213 5,483706
8,38 179,3718 1,131087 5,311627
8,4 179,5122 1,047401 4,524717
8,42 179,6667 1,28683 4,10561
8,44 179,6656 1,520378 4,00241
8,46 179,6562 1,551691 3,986266
8,48 179,57 1,544706 3,758137
8,5 179,5624 1,21657 3,656646
8,52 179,4197 0,9864499 3,395757
8,54 179,3561 0,8588893 3,239446
8,559999 179,1781 0,9090312 3,073391
8,58 179,0716 0,8461967 3,030857
8,599999 178,8434 0,713926 3,073142
8,62 178,6154 0,4242004 3,251105
8,639999 178,3433 0,1669888 3,673824
8,66 178,1264 359,9084 3,982443
8,679999 177,7554 359,7223 4,669101
8,7 177,3356 359,3821 5,228655
8,72 176,9565 359,3051 5,586582
8,74 176,5732 359,303 5,79201
8,76 176,5127 359,3869 5,705117
8,78 176,5731 359,4948 5,686485
8,8 176,6902 359,6706 5,749288
8,82 176,9527 0,06006399 5,786455
8,84 177,0876 0,3977641 5,728183
8,86 177,2055 0,6973872 5,748289
8,88 177,2464 0,844341 5,755183
8,9 177,2985 1,228765 5,78741
8,92 177,0717 1,579184 5,893798
8,94 176,7584 1,794735 6,107081
8,96 176,541 2,004573 6,256074
8,98 176,4373 2,029986 6,413486
9 176,3091 2,095653 6,676244
9,02 176,2797 2,065994 6,61362
9,04 176,3413 2,015404 6,504484
9,059999 176,7105 1,718699 6,185065
9,08 176,7597 1,905215 6,260878
9,099999 177,1492 2,174763 6,077993
9,12 177,494 3,018994 6,247357
9,139999 177,601 3,791889 6,340882
9,16 177,7116 3,803621 6,394899
9,179999 177,6274 3,697638 6,495663
9,2 177,6672 3,784587 6,719543
9,22 177,8567 3,833916 6,875976
9,24 178,0849 3,967265 6,863587
9,26 178,1889 4,190416 6,787035
9,28 178,2116 4,105556 6,815187
9,3 178,1949 3,974841 6,918504
9,32 178,0862 3,917414 6,991701
9,34 177,8718 3,542935 7,14038
9,36 177,639 3,399191 7,226518
9,38 177,5476 3,30902 7,222682
9,4 177,2938 2,897171 7,112415
9,42 177,1976 2,08037 7,317142
9,44 176,9351 1,14654 7,162068
9,46 177,1495 0,5781364 7,380518
9,48 177,206 0,3981638 7,557175
9,5 177,2503 0,1775804 7,785665
9,52 177,2318 0,05374671 7,748526
9,54 177,1015 0,2477183 7,571897
9,559999 176,6988 0,5271665 7,067543
9,58 176,503 0,694809 6,769946
9,599999 176,0799 0,8598069 6,369887
9,62 175,9475 0,7641608 6,302825
9,639999 176,2992 0,2288304 6,424675
9,66 176,7678 359,6422 6,642827
9,679999 176,8853 359,3415 6,691504
9,7 177,2222 358,353 6,798743
9,719999 177,4199 357,6903 6,919318
9,74 177,6673 357,2489 7,022245
9,76 177,7705 357,0906 7,056557
9,78 177,7587 357,1329 6,824138
9,8 177,5299 357,692 6,527773
9,82 177,3353 358,3205 6,485545
9,84 177,1103 358,9173 6,546881
9,86 176,7597 359,4828 6,745112
9,88 176,6161 359,7369 6,781523
9,9 176,3741 0,2537542 6,845881
9,92 176,385 0,8181295 6,913831
9,94 176,3321 1,374932 6,972962
9,96 176,0751 1,929887 7,045602
9,98 175,9292 2,124599 7,066861
10 175,4845 2,474996 7,027734
10,02 174,9368 2,76613 6,810953
10,04 174,2449 3,094753 6,732806
10,06 173,9443 3,24621 6,660986
10,08 173,2186 3,425269 6,702814
10,1 172,5128 3,486673 6,722629
10,12 171,7699 3,531415 6,876056
10,14 171,0646 3,407488 7,001927
10,16 170,7551 3,314653 6,977874
10,18 170,1488 3,134228 7,041382
10,2 169,6007 3,062336 7,001948
10,22 169,368 3,046679 6,994377
10,24 169,184 3,089307 7,057111
10,26 169,2331 3,258304 6,958125
10,28 169,3436 3,365902 6,86722
10,3 169,5692 3,653826 6,832476
10,32 169,9561 3,894187 6,878093
10,34 170,3683 4,149744 6,891155
10,36 170,8421 4,36595 6,847219
10,38 171,1017 4,409392 6,852006
10,4 171,5103 4,290455 6,735374
10,42 171,8839 4,063949 6,747804
10,44 172,1746 3,815771 6,757508
10,46 172,4032 3,672462 6,759906
10,48 172,4582 3,660071 6,845037
10,5 172,5416 3,6318 6,955107
10,52 172,5139 3,772885 7,036257
10,54 172,4915 3,903358 7,009329
10,56 172,556 4,032516 6,91508
10,58 172,5798 4,313379 6,807522
10,6 172,5328 4,777707 6,813304
10,62 172,5014 5,496532 6,818524
10,64 172,504 6,363203 6,892595
10,66 172,4621 7,263072 6,864763
10,68 172,4875 7,645213 6,851944
10,7 172,6579 8,237772 6,686592
10,72 172,9722 8,669357 6,433007
10,74 173,3757 8,807047 6,005137
10,76 173,5942 8,865281 5,767858
10,78 173,9498 8,971503 5,28273
10,8 174,4211 9,116272 4,786954
10,82 174,8371 9,228196 4,391433
10,84 175,2171 9,283257 4,071823
10,86 175,5221 9,407866 3,617357
10,88 175,6673 9,439295 3,413582
10,9 175,9473 9,424858 3,102962
10,92 176,0787 9,47859 3,193744
10,94 175,9348 9,460776 3,52327
10,96 175,5772 9,151954 4,091791
10,98 175,3001 9,007489 4,324693
11 174,6288 8,609016 4,78416
11,02 173,9739 8,399894 5,076113
11,04 173,3985 8,357483 5,194277
11,06 172,9676 8,581833 5,265339
11,08 172,7783 8,745342 5,329023
11,1 172,6023 9,351525 5,714727
11,12 172,5061 10,15814 6,340351
11,14 172,4707 10,83639 7,104468
11,16 172,3985 11,28881 7,789773
11,18 172,3831 11,50714 8,099229
11,2 172,3255 11,88822 8,676193
11,22 172,2574 12,25568 9,103391
11,24 172,3257 12,43097 9,324347
11,26 172,473 12,39334 9,490752
11,28 172,5184 12,41418 9,53153
11,3 172,4962 12,21954 9,512145
11,32 172,7596 12,12562 9,556611
11,34 172,8988 11,99437 9,520155
11,36 173,068 12,04065 9,456714
11,38 173,2015 12,05531 9,423141
11,4 173,3855 12,09871 9,370804
11,42 173,5288 12,06943 9,422126
11,44 173,5202 12,08855 9,577675
11,46 173,4244 12,18975 9,787917
11,48 173,3985 12,14716 9,791196
11,5 173,3453 11,6848 9,45354
11,52 173,5082 11,19124 9,265227
11,54 173,4225 10,55096 9,286158
11,56 173,4823 10,34017 9,365769
11,58 173,5214 10,28876 9,469758
11,6 173,5648 10,18531 9,622726
11,62 173,7733 10,28831 9,739862
11,64 174,0633 10,14271 9,815553
11,66 174,503 10,04778 9,768482
11,68 174,6817 9,940905 9,856157
11,7 174,9674 9,888482 9,89854
11,72 175,2454 9,946 9,914028
11,74 175,5301 10,00666 9,936731
11,76 175,907 9,937591 9,788752
11,78 176,128 9,831732 9,836596
11,8 176,4028 9,492804 9,683896
11,82 176,6303 9,078063 9,503334
11,84 176,9233 8,804234 9,478152
11,86 177,1789 8,707303 9,425606
11,88 177,2576 8,653069 9,484433
11,9 177,1166 8,607152 9,616746
11,92 177,2812 8,937504 9,699535
11,94 177,2423 8,807544 9,74924
11,96 177,228 8,867081 9,928679
11,98 177,1827 8,981544 10,01274
12 176,9839 8,796834 10,23724
12,02 176,7049 8,478285 10,32108
12,04 176,4954 8,106598 10,38811
12,06 176,4462 7,937998 10,41999
12,08 176,5341 7,700772 10,48946
12,1 176,815 7,345961 10,68037
12,12 177,122 7,100542 10,89333
12,14 177,4166 6,878159 11,08735
12,16 177,9249 6,877104 11,37049
12,18 178,0493 6,771105 11,57046
12,2 178,3153 6,655931 11,80099
12,22 178,4868 6,540516 12,02003
12,24 178,5335 6,426543 12,13004
12,26 178,4474 6,321092 12,10598
12,28 178,4246 6,264472 12,1403
12,3 178,2226 6,0043 12,24367
12,32 177,9698 5,694407 12,45208
12,34 177,652 5,426271 12,74185
12,36 177,2312 5,036434 13,12219
12,38 176,951 4,749559 13,25723
12,4 176,5448 4,383935 13,76702
12,42 176,2558 4,392947 14,09619
12,44 176,0758 4,438561 14,42748
12,46 175,77 4,7474 14,80453
12,48 175,4927 4,936202 14,98198
12,5 174,7737 5,198902 15,3387
12,52 174,1648 5,343443 15,34237
12,54 174,0451 5,488233 14,84841
12,56 174,2197 5,471815 14,61526
12,58 174,2237 5,416029 14,6515
12,6 174,2561 5,325529 14,65616
12,62 174,2703 5,194116 14,66491
12,64 174,43 4,901612 14,61228
12,66 174,6648 4,784482 14,42613
12,68 174,7087 4,730511 14,41721
12,7 174,5848 4,585618 14,29879
12,72 174,4362 4,636518 14,33112
12,74 174,0911 4,82201 14,14765
12,76 173,9069 4,965694 14,12497
12,78 173,903 5,038477 14,10394
12,8 174,0087 5,178004 13,98698
12,82 174,1855 5,188363 14,0861
12,84 174,5106 5,361132 14,1168
12,86 174,7 5,388293 14,35939
12,88 174,7918 5,53573 14,49851
12,9 174,9699 5,934353 14,63099
12,92 175,0365 6,091184 14,731
12,94 174,956 5,971474 14,73953
12,96 174,9529 5,873278 14,76364
12,98 174,9557 5,878811 14,76711
13 175,0542 5,795758 14,78482
13,02 175,0844 5,778416 14,80988
13,04 175,1045 5,687298 14,80131
13,06 174,8732 5,270911 14,7355
13,08 174,8426 5,299437 14,72912
13,1 174,6292 5,367778 14,87969
13,12 174,2901 5,449146 15,0084
13,14 174,0082 5,349656 14,95916
13,16 173,8285 5,417955 15,14712
13,18 173,4585 5,362196 15,14308
13,2 173,2389 5,357284 15,09246
13,22 172,8197 5,224278 15,00507
13,24 172,5375 5,04092 14,92797
13,26 172,3999 4,990851 14,85627
13,28 172,295 4,90267 14,8968
13,3 172,1876 4,753888 14,89719
13,32 172,0582 4,585473 15,00581
13,34 171,846 4,618194 15,1881
13,36 171,6218 4,638855 15,33727
13,38 171,5621 4,65151 15,37037
13,4 171,5683 4,687674 15,43105
13,42 171,5744 4,691389 15,46498
13,44 171,6546 4,705176 15,62159
13,46 171,7558 4,673185 15,92757
13,48 171,7753 4,722705 16,01237
13,5 171,8013 4,763193 16,15651
13,52 171,8243 4,823555 16,39951
13,54 171,8201 4,787072 16,54114
13,56 171,9734 4,71417 16,58116
13,58 171,9509 4,613173 16,601
13,6 172,0176 4,264884 16,64549
13,62 171,9541 4,147311 16,67964
13,64 171,896 3,924762 16,66519
13,66 171,9779 3,80583 16,66583
13,68 172,133 3,773009 16,75186
13,7 172,6634 4,069947 16,58368
13,72 173,0807 4,217465 16,41718
13,74 173,3861 3,788616 15,94283
13,76 173,6995 3,145475 15,32947
13,78 173,8916 2,855533 15,01626
13,8 174,1455 2,362398 14,28281
13,82 174,2855 1,817306 13,44816
13,84 174,3848 1,248022 12,62907
13,86 174,5056 0,6759326 12,00262
13,88 174,4917 0,4417465 11,64966
13,9 174,6331 0,0296093 11,10957
13,92 174,6978 359,7461 10,68213
13,94 174,8005 359,624 10,29366
13,96 174,9119 359,5815 9,93009
13,98 174,971 359,6284 9,705775
14 175,2391 359,7558 9,147724
14,02 175,5411 359,8464 8,479421
14,04 175,8286 359,7795 7,850124
14,06 176,1735 359,6703 7,228115
14,08 176,2982 359,632 6,90402
14,1 176,614 359,492 6,204255
14,12 176,7906 359,2551 5,508483
14,14 176,9623 359,0403 4,863842
14,16 177,126 358,7155 4,269445
14,18 177,1271 358,6037 3,972264
14,2 177,1443 358,3439 3,468154
14,22 176,9896 358,007 2,997189
14,24 178,2736 357,8869 3,014109
14,26 178,3859 357,6098 2,644814
14,28 178,4712 357,5607 2,299698
14,3 178,5499 357,2848 1,903024
14,32 178,8783 357,1166 1,679448
14,34 179,0661 356,9253 1,540376
14,36 179,2467 356,8049 1,341106
14,38 179,2823 356,8169 1,318413
14,4 179,2197 356,8262 1,209175
14,42 179,0982 356,8511 1,18442
14,44 178,9218 356,8253 1,06984
14,46 178,528 356,7169 0,9654863
14,48 178,3852 356,661 0,9554313
14,5 177,9811 356,6525 0,9623147
14,52 177,5838 356,6632 0,9297507
14,54 177,1416 356,8305 0,9372958
14,56 176,9403 356,9669 0,9131656
14,58 176,4001 357,1519 0,9070638
14,6 175,9732 357,6076 0,9083591
14,62 175,5232 358,2313 0,8670121
14,64 174,961 359,1032 0,8303932
14,66 174,4933 359,7405 0,6385557
14,68 174,206 359,9934 0,5489957
